root@vmi2735602:/opt/trading-bot-v91# docker-compose logs trading-bot
trading-bot-v91  | INFO:binance_handler:Successfully connected to Binance Futures (testnet=True)
trading-bot-v91  | INFO:binance_handler:Fetched Exchange Info for 568 symbols
trading-bot-v91  | INFO:binance_handler:Position mode: One-way
trading-bot-v91  | INFO:discord_notifications:Discord notifier v9.1 initialized with enhanced features
trading-bot-v91  | INFO:matplotlib.font_manager:generated new fontManager
trading-bot-v91  | INFO:analytics:🔬 Analytics Engine v9.1 initialized with Hybrid Ultra-Diagnostics
trading-bot-v91  | INFO:__main__:🚀 Starting Trading Bot v9.1...
trading-bot-v91  | INFO:discord_notifications:Discord notifier v9.1 initialized with enhanced features
trading-bot-v91  | INFO:mode_manager:🎯 Mode Manager v9.1 initialized with enhanced features
trading-bot-v91  | INFO:analytics:🔬 Analytics Engine v9.1 initialized with Hybrid Ultra-Diagnostics
trading-bot-v91  | INFO:signal_intelligence:Signal Intelligence v9.1 initialized with enhanced features
trading-bot-v91  | INFO:__main__:🚀 Trading Bot v9.1 initialized with enhanced features
trading-bot-v91  | INFO:__main__:ML Enabled: False
trading-bot-v91  | INFO:__main__:Signal Intelligence: False
trading-bot-v91  | INFO:__main__:Institutional Flow: False
trading-bot-v91  | INFO:__main__:🔄 Starting Trading Bot v9.1...
trading-bot-v91  | INFO:database:Database initialized successfully
trading-bot-v91  | INFO:database:Diagnostic tables created/verified
trading-bot-v91  | INFO:database:Database migrations completed (including diagnostics)
trading-bot-v91  | INFO:__main__:✅ Database initialized successfully
trading-bot-v91  | INFO:__main__:✅ Configuration validated successfully
trading-bot-v91  | INFO:binance_handler:API credentials validated successfully
trading-bot-v91  | INFO:__main__:✅ Binance API credentials validated
trading-bot-v91  | INFO:binance_handler:Async initialization completed
trading-bot-v91  | INFO:__main__:✅ Binance async components initialized
trading-bot-v91  | INFO:ml_predictor:Brak modeli ML - spróbuję wytrenować nowe
trading-bot-v91  | WARNING:ml_predictor:Za mało danych: 0 < 100
trading-bot-v91  | WARNING:ml_predictor:Nie udało się wytrenować modeli ML
trading-bot-v91  | INFO:signal_intelligence:Adaptive mode active: 20/1000 trades
trading-bot-v91  | INFO:signal_intelligence:Signal Intelligence initialized successfully
trading-bot-v91  | INFO:__main__:✅ Adaptive components initialized
trading-bot-v91  | INFO:httpx:HTTP Request: POST https://discord.com/api/webhooks/1402626150911709244/TVrI2BUGV74ROqOP1A9eVAInlpDPkUC1efRUUul9SKFAFFdsM5mOo47ZfJVc5EZV0U8g?wait=true "HTTP/1.1 200 OK"
trading-bot-v91  | INFO:__main__:✅ Discord Assistant started
trading-bot-v91  | INFO:__main__:✅ Bot started successfully with all v9.1 features
trading-bot-v91  | INFO:     Started server process [1]
trading-bot-v91  | INFO:     Waiting for application startup.
trading-bot-v91  | WARNING:discord.client:PyNaCl is not installed, voice will NOT be supported
trading-bot-v91  | INFO:discord.client:logging in using static token
trading-bot-v91  | INFO:webhook:🚀 Webhook server v9.1 starting up...
trading-bot-v91  | INFO:webhook:✅ Binance credentials detected (IS_TESTNET=True)
trading-bot-v91  | INFO:webhook:✅ Database connection successful
trading-bot-v91  | INFO:webhook:✅ Bot instance available
trading-bot-v91  | INFO:webhook:✅ Webhook server v9.1 ready (Mode: normal)
trading-bot-v91  | INFO:     Application startup complete.
trading-bot-v91  | INFO:     Uvicorn running on http://0.0.0.0:5000 (Press CTRL+C to quit)
trading-bot-v91  | INFO:discord_client:Zsynchronizowano 20 komend z serwerem ID: 1402620492518785147
trading-bot-v91  | INFO:discord.gateway:Shard ID None has connected to Gateway (Session ID: 9ceb0706e3a545f90fc2a2c98fba3cd5).
trading-bot-v91  | INFO:discord_client:Strumień logów będzie wysyłany na kanał: 📝-bot-logs
trading-bot-v91  | INFO:discord_client:Discord bot zalogowany jako Mój Asystent Tradingowy#1140
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
trading-bot-v91  | INFO:database:Diagnostic cleanup: 0 traces, 0 params, 0 pine logs, 0 SHAP, 0 patterns, 0 health records
trading-bot-v91  | ERROR:__main__:Error in pattern detection: name 'DecisionTrace' is not defined
